Id,ActivityId,InterventionId,FinishTime,ActivityType,InterventionType,CommodityType,Commodity,Weight
6328418,6326627,6328416,2022-05-19T00:37:51Z,Airport,Declared,Fruit & Veg,MANDARINS,0.15
6329595,6327042,6329594,2022-05-19T00:35:02Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6329636,6327042,6329635,2022-05-19T00:35:02Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6329679,6327042,6329678,2022-05-19T00:35:02Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6329773,6327020,6329772,2022-05-19T01:20:11Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6331038,6327152,6331037,2022-05-19T02:35:55Z,Airport,Declared,Fruit & Veg,APPLES,0.48
6331062,6327152,6331061,2022-05-19T02:35:55Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6331244,6327196,6331243,2022-05-19T03:15:44Z,Airport,Detected,Fruit & Veg,APPLES,0.12
6332739,6326717,6332738,2022-05-19T05:47:11Z,Airport,Detected,Fruit & Veg,APPLES,0.4
6332769,6326717,6332768,2022-05-19T05:47:11Z,Airport,Detected,Fruit & Veg,APPLES,0.3
6332884,6326739,6332883,2022-05-19T07:00:01Z,Airport,Detected,Fruit & Veg,KIWI FRUIT,0.1
6332885,6326739,6332883,2022-05-19T07:00:01Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
6332954,6327262,6332953,2022-05-19T06:06:34Z,Airport,Declared,Fruit & Veg,APPLES,0.15
6332955,6327262,6332953,2022-05-19T06:06:34Z,Airport,Declared,Fruit & Veg,MANDARINS,0.15
6333044,6327328,6333043,2022-05-19T08:02:06Z,Airport,Declared,Fruit & Veg,APPLES,0.15
6333068,6327328,6333067,2022-05-19T08:02:06Z,Airport,Declared,Fruit & Veg,MANDARINS,0.1
6333310,6330060,6333309,2022-05-19T09:45:21Z,Airport,Detected,Fruit & Veg,APPLES,0.15
6333360,6330082,6333359,2022-05-19T09:10:26Z,Airport,Detected,Fruit & Veg,APPLES,0.15
6333384,6330082,6333383,2022-05-19T09:10:26Z,Airport,Declared,Fruit & Veg,MANDARINS,0.18
6333432,6330082,6333431,2022-05-19T09:10:26Z,Airport,Declared,Fruit & Veg,APPLES,1
6333433,6330082,6333431,2022-05-19T09:10:26Z,Airport,Declared,Fruit & Veg,MANDARINS,1
6333523,6330143,6333522,2022-05-20T10:01:02Z,Airport,Detected,Fruit & Veg,APPLES,0.15
6333623,6330214,6333622,2022-05-19T11:35:59Z,Airport,Declared,Fruit & Veg,APPLES,0.15
6333647,6330214,6333646,2022-05-19T11:35:59Z,Airport,Declared,Fruit & Veg,BANANAS,0.25
6333672,6330214,6333646,2022-05-19T11:35:59Z,Airport,Declared,Fruit & Veg,MANDARINS,0.3
6333742,6330236,6333741,2022-05-19T13:25:33Z,Airport,Declared,Fruit & Veg,BANANAS,0.15
6335754,6333918,6335753,2022-05-20T00:29:05Z,Airport,Declared,Fruit & Veg,GRAPES,0.05
6335794,6333918,6335793,2022-05-20T00:29:05Z,Airport,Declared,Fruit & Veg,APPLES,0.2
6335927,6334481,6335926,2022-05-20T01:21:59Z,Airport,Detected,Fruit & Veg,APPLES,0.1
6335953,6334481,6335952,2022-05-20T01:21:59Z,Airport,Declared,Fruit & Veg,BANANAS,0.1
6335983,6334481,6335982,2022-05-20T01:21:59Z,Airport,Detected,Fruit & Veg,MANDARINS,0.03
6336082,6334261,6336081,2022-05-20T00:00:01Z,Airport,Declared,Fruit & Veg,APPLES,0.6
6336107,6334261,6336106,2022-05-20T00:00:01Z,Airport,Declared,Fruit & Veg,NECTARINES,0.1
6336189,6334393,6336188,2022-05-20T00:55:52Z,Airport,Detected,Fruit & Veg,MANDARINS,0.11
6336190,6334393,6336188,2022-05-20T00:55:52Z,Airport,Detected,Fruit & Veg,BANANAS,0.13
6336229,6334393,6336228,2022-05-20T00:55:52Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6336253,6334393,6336252,2022-05-20T00:55:52Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6336277,6334393,6336276,2022-05-20T00:55:52Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6336330,6334415,6336329,2022-05-20T00:20:54Z,Airport,Declared,Fruit & Veg,MANDARINS,0.11
6336331,6334415,6336329,2022-05-20T00:20:54Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6336332,6334415,6336329,2022-05-20T00:20:54Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6337233,6334547,6337232,2022-05-20T04:00:43Z,Airport,Detected,Fruit & Veg,APPLES,0.1
6337309,6334635,6337308,2022-05-20T03:30:04Z,Airport,Detected,Fruit & Veg,BANANAS,0.02
6337632,6337591,6337631,2022-05-20T05:22:15Z,Airport,Declared,Fruit & Veg,BANANAS,0.3
